CustomerID,FirstName,LastName,DateOfBirth,Gender,Province,City,CustomerSegment,JoinDate,RiskRating,EmploymentStatus,AnnualIncome,IsActive
C000047,Priya,Gumede,1953-04-11,Female,KwaZulu-Natal,Pietermaritzburg,Mass Market,2024-07-06,Low,Employed,162615,True
C000048,Muhammad,Naidoo,1962-07-04,Male,Western Cape,Paarl,Mass Market,2026-05-04,Medium,Employed,212854,True
C000049,Nomsa,Botha,1958-12-29,Female,Gauteng,Midrand,Mass Market,2023-09-07,Medium,Retired,166235,True
C000050,Thabo,Nkosi,1999-10-02,Female,Eastern Cape,Gqeberha,Mass Market,2024-03-19,Low,Employed,253024,False
C000051,Ayanda,Pillay,1985-03-12,Female,KwaZulu-Natal,Durban,Mass Market,2025-11-03,Medium,Unemployed,15115,True
C000052,Sipho,Khumalo,1990-03-29,Male,Northern Cape,Kimberley,Mass Market,2024-03-18,High,Employed,174142,True
C000053,Ayesha,Naidoo,2002-02-28,Female,Mpumalanga,Mbombela,Mass Market,2022-11-09,Low,Self-Employed,215551,True
C000054,Zanele,Brown,1984-03-05,Female,North West,Rustenburg,Affluent,2024-10-18,Medium,Self-Employed,908166,False
C000055,Leah,Khumalo,1993-01-15,Female,Western Cape,Bellville,Emerging Affluent,2022-10-15,Medium,Employed,388860,True
C000056,Sibusiso,Nkosi,1957-08-23,Male,KwaZulu-Natal,Richards Bay,Affluent,2022-10-09,Medium,Employed,790353,True
C000057,Neo,Smith,1980-12-30,Male,Gauteng,Centurion,Emerging Affluent,2024-11-11,Low,Employed,443577,True
C000058,Neo,Williams,1957-08-29,Female,Gauteng,Midrand,Mass Market,2022-10-05,Medium,Unemployed,25944,True
C000059,Ethan,Dlamini,2003-02-22,Male,Western Cape,Bellville,Mass Market,2024-02-27,High,Unemployed,42111,True
C000060,Ethan,Naidoo,1968-07-14,Male,Free State,Bloemfontein,Mass Market,2026-03-04,Medium,Unemployed,68139,True
C000061,Zanele,Williams,1996-09-28,Female,Western Cape,Cape Town,Emerging Affluent,2025-10-11,Low,Employed,357885,True
C000062,Nomsa,Daniels,1956-04-14,Female,North West,Mahikeng,Emerging Affluent,2026-05-28,Low,Employed,496924,False
C000063,Karabo,Gumede,1951-04-23,Male,Gauteng,Pretoria,Mass Market,2025-09-21,Medium,Retired,206997,True
C000064,Megan,Gumede,1999-02-07,Female,Gauteng,Centurion,Affluent,2025-10-29,Low,Employed,693163,False
C000065,Ayesha,Dlamini,1961-05-15,Female,KwaZulu-Natal,Pietermaritzburg,Emerging Affluent,2023-07-06,Low,Employed,512963,True
C000066,Thabo,Khan,1971-04-09,Male,Eastern Cape,Mthatha,Private Banking,2026-03-03,High,Self-Employed,2047662,True
C000067,Imran,Brown,1950-05-02,Female,KwaZulu-Natal,Pietermaritzburg,Emerging Affluent,2024-01-16,Low,Employed,304609,True
C000068,Ethan,Radebe,1985-11-28,Female,KwaZulu-Natal,Richards Bay,Emerging Affluent,2023-08-18,Medium,Self-Employed,416034,True
C000069,Sibusiso,Cele,1950-09-05,Female,Gauteng,Sandton,Emerging Affluent,2026-06-24,Low,Employed,391814,True
C000070,Muhammad,Pillay,1985-05-03,Male,Mpumalanga,Mbombela,Mass Market,2025-01-03,Low,Employed,229210,True
C000071,Priya,Molefe,1970-06-29,Female,Gauteng,Johannesburg,Emerging Affluent,2023-07-02,Low,Retired,374416,True
C000072,Ayesha,Botha,1961-05-31,Male,KwaZulu-Natal,Umhlanga,Emerging Affluent,2025-06-23,Low,Self-Employed,396907,True
C000073,Karabo,Ndlovu,1995-07-19,Male,Western Cape,Paarl,Affluent,2022-04-16,Low,Employed,946530,True
C000074,Ayesha,Brown,1959-11-13,Male,KwaZulu-Natal,Pietermaritzburg,Emerging Affluent,2026-01-07,Low,Retired,535629,True
C000075,Kayla,Pillay,1951-03-20,Male,Gauteng,Johannesburg,Mass Market,2026-05-13,High,Unemployed,81814,False
C000076,Sipho,Molefe,1987-05-06,Male,KwaZulu-Natal,Durban,Mass Market,2022-03-04,Low,Unemployed,11626,False
C000077,Nomsa,Molefe,1975-07-01,Female,Western Cape,Cape Town,Emerging Affluent,2022-10-03,Medium,Employed,427279,True
C000078,Sibusiso,Khan,2004-08-01,Female,Gauteng,Centurion,Mass Market,2024-11-20,Medium,Retired,236354,True
C000079,Imran,Adams,2003-06-21,Female,Western Cape,Cape Town,Emerging Affluent,2025-04-30,Low,Employed,341228,True
C000080,Neo,Khan,1997-01-12,Female,Gauteng,Centurion,Mass Market,2024-03-18,Medium,Unemployed,41991,True
C000081,Thabo,Meyer,1971-01-05,Female,KwaZulu-Natal,Pietermaritzburg,Emerging Affluent,2024-05-13,Low,Employed,372661,True
C000082,Megan,Khumalo,1954-06-24,Female,Gauteng,Soweto,Emerging Affluent,2026-04-16,Low,Employed,463534,True
C000083,Fatima,Ndlovu,1960-02-04,Female,Western Cape,Stellenbosch,Mass Market,2023-11-11,Low,Unemployed,13294,True
C000084,Ayanda,Pillay,1970-02-28,Female,KwaZulu-Natal,Richards Bay,Emerging Affluent,2023-07-01,Low,Retired,448708,True
C000085,Leah,Smith,1980-04-07,Male,Mpumalanga,eMalahleni,Mass Market,2024-12-30,Low,Unemployed,36942,False
C000086,Leah,Cele,1950-06-01,Female,Mpumalanga,Mbombela,Mass Market,2025-10-30,Low,Self-Employed,263781,True
C000087,Thabo,Brown,2002-05-23,Male,Gauteng,Centurion,Emerging Affluent,2022-02-21,Medium,Employed,300175,True
C000088,Fatima,Gumede,1972-12-05,Male,Gauteng,Sandton,Small Business,2024-09-01,Low,Self-Employed,713977,True
C000089,Kagiso,Khumalo,1963-11-05,Male,Free State,Bloemfontein,Emerging Affluent,2024-10-08,Low,Employed,540369,True
C000090,Thabo,Patel,2000-07-27,Female,Gauteng,Pretoria,Emerging Affluent,2023-04-29,Low,Employed,356342,True
C000091,Kagiso,Smith,1958-07-28,Female,KwaZulu-Natal,Pietermaritzburg,Emerging Affluent,2023-07-26,Low,Employed,582623,True
C000092,Kayla,Adams,2001-03-30,Female,Limpopo,Tzaneen,Mass Market,2023-06-18,Low,Employed,241543,True
C000093,Leah,Gumede,1990-02-24,Male,Gauteng,Soweto,Mass Market,2022-01-09,Low,Employed,256974,True
C000094,Mpho,Botha,1993-08-21,Male,KwaZulu-Natal,Richards Bay,Mass Market,2024-01-20,Medium,Employed,183994,False
C000095,Priya,Govender,1992-07-02,Male,KwaZulu-Natal,Durban,Affluent,2023-09-25,Low,Employed,682584,True
C000096,Mpho,Brown,1958-02-26,Female,Western Cape,Bellville,Mass Market,2022-03-15,Medium,Employed,167255,True
C000097,Megan,Patel,1979-07-21,Male,Western Cape,Cape Town,Emerging Affluent,2022-03-21,Low,Retired,302617,True
C000098,Ethan,Daniels,1961-07-29,Female,Eastern Cape,East London,Mass Market,2025-05-07,Low,Employed,275103,True
C000099,Daniel,Mokoena,1963-02-20,Male,KwaZulu-Natal,Umhlanga,Mass Market,2022-10-02,Low,Employed,259480,True
C000100,Karabo,Williams,1968-05-30,Female,KwaZulu-Natal,Umhlanga,Emerging Affluent,2024-07-10,Low,Employed,497469,True
C000101,Kagiso,Williams,1973-12-15,Female,Gauteng,Soweto,Mass Market,2022-07-06,Medium,Employed,234056,True
C000102,Sipho,Nkosi,1984-04-13,Male,Free State,Bloemfontein,Emerging Affluent,2023-10-21,Medium,Employed,340264,True
C000103,Ayanda,Adams,1950-05-22,Male,Western Cape,Cape Town,Emerging Affluent,2023-06-03,Low,Employed,401433,True
C000104,Thabo,Nkosi,1986-05-17,Male,KwaZulu-Natal,Pietermaritzburg,Mass Market,2023-05-17,High,Employed,163051,True
C000105,Anika,Botha,1993-07-09,Male,Gauteng,Soweto,Mass Market,2023-06-15,Medium,Employed,215831,True
C000106,Thabo,Molefe,1985-06-03,Female,Gauteng,Centurion,Affluent,2022-01-16,Medium,Employed,933732,True
C000107,Neo,Botha,1964-09-17,Female,Western Cape,Paarl,Mass Market,2022-01-20,High,Unemployed,49801,True
C000108,Lerato,Khan,1951-08-24,Male,Western Cape,Cape Town,Emerging Affluent,2025-08-02,Medium,Retired,495028,True
C000109,Lerato,Khumalo,1978-11-27,Female,Gauteng,Centurion,Emerging Affluent,2022-02-08,Medium,Employed,288743,True
C000110,Sipho,Ndlovu,2005-08-21,Female,KwaZulu-Natal,Durban,Mass Market,2023-09-30,Medium,Employed,125925,True
C000111,Kagiso,Cele,1968-02-18,Female,Gauteng,Centurion,Affluent,2022-06-03,Medium,Employed,844175,True
C000112,Mpho,Khan,1964-09-12,Male,KwaZulu-Natal,Richards Bay,Mass Market,2022-10-13,High,Employed,179911,True
C000113,Ayanda,Govender,1998-08-22,Male,Eastern Cape,Mthatha,Emerging Affluent,2025-09-15,High,Self-Employed,536274,True
C000114,Lerato,Daniels,2002-01-26,Male,KwaZulu-Natal,Pietermaritzburg,Mass Market,2022-05-04,Low,Employed,222915,True
C000115,Ayesha,Ndlovu,2001-02-24,Male,Gauteng,Johannesburg,Mass Market,2024-12-17,Medium,Employed,189543,True
C000116,Kagiso,Cele,1997-10-06,Female,KwaZulu-Natal,Durban,Emerging Affluent,2024-02-09,Medium,Employed,645224,True
C000117,Jason,Khumalo,2000-04-26,Male,Gauteng,Pretoria,Mass Market,2024-06-27,Low,Employed,202207,True
C000118,Zanele,Khan,1969-10-31,Male,Gauteng,Johannesburg,Mass Market,2026-02-11,Medium,Employed,110356,True
C000119,Lerato,Dlamini,1962-05-25,Male,Gauteng,Johannesburg,Emerging Affluent,2024-09-06,Low,Employed,283695,True
C000120,Ruan,Pillay,1996-01-19,Male,KwaZulu-Natal,Durban,Emerging Affluent,2023-10-17,Low,Self-Employed,635553,True
C000121,Nomsa,Cele,1961-01-25,Female,KwaZulu-Natal,Durban,Emerging Affluent,2025-03-28,Low,Retired,519916,True
C000122,Daniel,Meyer,1971-08-23,Female,Gauteng,Centurion,Emerging Affluent,2025-12-04,Medium,Employed,640206,True
C000123,Fatima,Jacobs,1982-03-09,Female,Gauteng,Midrand,Affluent,2024-09-10,Low,Employed,769291,True
C000124,Muhammad,Cele,1962-05-12,Male,Gauteng,Johannesburg,Emerging Affluent,2024-02-14,Medium,Retired,456534,True
C000125,Daniel,Khumalo,1951-11-24,Female,KwaZulu-Natal,Durban,Emerging Affluent,2022-09-01,High,Self-Employed,347504,True
C000126,Zanele,Brown,1967-07-18,Male,Free State,Welkom,Mass Market,2025-08-24,Low,Employed,229332,True
C000127,Naledi,Pillay,2002-07-23,Male,Western Cape,Paarl,Mass Market,2025-11-15,Medium,Retired,174139,True
C000128,Nomsa,Dlamini,1954-10-07,Male,Mpumalanga,Mbombela,Mass Market,2022-05-06,Low,Employed,253821,True
C000129,Sipho,Meyer,1979-06-09,Female,Western Cape,Bellville,Mass Market,2022-03-12,Low,Student,26550,True
C000130,Ethan,Khan,1993-02-16,Female,KwaZulu-Natal,Durban,Emerging Affluent,2022-02-27,Low,Self-Employed,369847,True
C000131,Sibusiso,Dlamini,2002-07-07,Female,Gauteng,Midrand,Mass Market,2023-12-24,Medium,Self-Employed,222983,True
C000132,Ethan,Radebe,1950-09-05,Male,KwaZulu-Natal,Umhlanga,Emerging Affluent,2025-01-03,Medium,Retired,592885,True
C000133,Neo,Nkosi,1997-05-08,Female,Gauteng,Johannesburg,Mass Market,2025-01-25,Low,Unemployed,28802,True
C000134,Muhammad,Radebe,2004-03-19,Male,Western Cape,Paarl,Mass Market,2023-09-20,Medium,Student,55161,True
C000135,Zanele,Khumalo,1974-03-19,Male,Eastern Cape,Mthatha,Mass Market,2025-04-09,Low,Employed,219430,True
C000136,Imran,Jacobs,1950-02-08,Male,Gauteng,Pretoria,Affluent,2022-07-25,Medium,Self-Employed,972458,True
C000137,Karabo,Ndlovu,2000-06-15,Female,Gauteng,Pretoria,Mass Market,2024-10-01,Low,Employed,130537,True
C000138,Tshepo,Naidoo,1984-01-05,Male,Eastern Cape,East London,Mass Market,2025-08-03,Low,Unemployed,78264,True
C000139,Nomsa,Nkosi,1993-01-09,Male,North West,Rustenburg,Emerging Affluent,2023-10-24,Low,Employed,375062,True
C000140,Lerato,Jacobs,1987-04-02,Female,Limpopo,Polokwane,Emerging Affluent,2025-01-04,Low,Employed,310928,True
C000141,Mpho,Daniels,1967-07-01,Male,Western Cape,Paarl,Emerging Affluent,2025-07-22,Low,Employed,441220,True
C000142,Ayesha,Nkosi,1954-08-13,Female,Gauteng,Sandton,Mass Market,2023-06-10,High,Employed,207390,True
C000143,Sipho,Mokoena,2003-05-22,Male,Gauteng,Pretoria,Mass Market,2024-07-21,Low,Employed,199471,True
C000144,Mpho,Meyer,2002-04-28,Female,Gauteng,Soweto,Emerging Affluent,2025-01-23,Low,Employed,406968,True
C000145,Ayanda,Brown,1956-04-21,Female,Mpumalanga,Mbombela,Emerging Affluent,2025-04-29,Medium,Employed,522225,True
C000146,Ayanda,Nkosi,1979-07-31,Female,Gauteng,Centurion,Mass Market,2022-03-19,Medium,Self-Employed,71513,True
C000147,Ayanda,Patel,1955-10-30,Female,Gauteng,Sandton,Emerging Affluent,2024-12-28,Low,Retired,426105,True
C000148,Karabo,Molefe,1962-05-23,Female,KwaZulu-Natal,Durban,Emerging Affluent,2024-10-12,Low,Self-Employed,612781,True
C000149,Karabo,Govender,2006-06-08,Female,Western Cape,Paarl,Emerging Affluent,2023-03-30,Low,Self-Employed,401236,True
C000150,Ayesha,Adams,2004-05-09,Male,Gauteng,Centurion,Mass Market,2022-02-13,High,Employed,249814,True
C000151,Ethan,Smith,1968-09-12,Female,Gauteng,Pretoria,Mass Market,2022-05-11,High,Student,80993,False
C000152,Naledi,Naidoo,1965-12-26,Female,Northern Cape,Upington,Emerging Affluent,2025-09-15,Low,Employed,436323,True
C000153,Ethan,Nkosi,1992-12-12,Male,Gauteng,Midrand,Affluent,2025-07-03,Medium,Employed,829383,True
C000154,Ethan,Mokoena,1964-10-02,Female,KwaZulu-Natal,Durban,Affluent,2024-02-11,Low,Self-Employed,715526,True
C000155,Tshepo,Dlamini,1963-09-26,Male,Mpumalanga,Mbombela,Mass Market,2024-11-15,Medium,Employed,207579,True
C000156,Neo,Dlamini,1958-12-14,Male,Eastern Cape,East London,Mass Market,2025-08-12,Medium,Student,9005,True
C000157,Ethan,Molefe,2002-11-08,Female,Western Cape,Stellenbosch,Emerging Affluent,2025-08-28,Low,Self-Employed,303008,True
C000158,Ethan,Naidoo,2005-11-01,Male,North West,Rustenburg,Affluent,2024-11-06,Medium,Employed,688105,True
C000159,Priya,Ndlovu,1962-10-15,Female,Gauteng,Sandton,Emerging Affluent,2025-06-16,Low,Employed,604536,True
C000160,Daniel,Smith,1984-03-07,Male,Gauteng,Johannesburg,Affluent,2023-08-08,Low,Self-Employed,742613,True
C000161,Thabo,Botha,1953-05-16,Female,KwaZulu-Natal,Durban,Emerging Affluent,2025-08-19,Low,Employed,303877,True
C000162,Ethan,Nkosi,1959-03-14,Female,Gauteng,Pretoria,Mass Market,2025-11-27,Low,Employed,195955,True
C000163,Neo,Ndlovu,1978-05-21,Male,KwaZulu-Natal,Umhlanga,Emerging Affluent,2026-07-26,Low,Self-Employed,464293,True
C000164,Fatima,Naidoo,2003-01-31,Female,North West,Mahikeng,Mass Market,2022-02-17,High,Employed,132359,True
C000165,Kayla,Jacobs,2002-07-08,Male,Gauteng,Soweto,Mass Market,2022-06-06,Low,Employed,53387,True
C000166,Daniel,Adams,1957-09-29,Female,Western Cape,Bellville,Mass Market,2025-04-13,Medium,Employed,106589,True
C000167,Ayanda,Mokoena,1998-04-09,Female,Mpumalanga,eMalahleni,Private Banking,2022-07-27,Low,Self-Employed,1317348,True
C000168,Karabo,Jacobs,1973-11-24,Male,Western Cape,Paarl,Emerging Affluent,2023-12-03,Low,Employed,295599,True
C000169,Ruan,Daniels,2004-10-05,Female,Western Cape,Paarl,Mass Market,2023-09-15,Low,Employed,278282,True
C000170,Daniel,Pillay,1998-06-24,Male,Western Cape,Cape Town,Emerging Affluent,2022-03-10,Low,Self-Employed,348404,True
C000171,Mpho,Ndlovu,1951-12-02,Female,Gauteng,Centurion,Small Business,2022-11-09,Low,Self-Employed,1043307,True
C000172,Ethan,Williams,1981-01-26,Male,Western Cape,Stellenbosch,Mass Market,2024-10-31,Low,Employed,161417,True
C000173,Fatima,Daniels,1977-06-01,Female,Gauteng,Sandton,Mass Market,2025-06-23,Medium,Employed,199053,True
C000174,Nomsa,Botha,1952-10-24,Female,Gauteng,Johannesburg,Mass Market,2025-09-13,High,Employed,70654,True
C000175,Jason,Molefe,1960-08-18,Female,Western Cape,Bellville,Mass Market,2026-07-17,Low,Employed,228089,True
C000176,Ruan,Molefe,1997-01-02,Male,Eastern Cape,Gqeberha,Mass Market,2022-03-06,Medium,Employed,113620,True
C000177,Thabo,Govender,2005-02-23,Male,Eastern Cape,East London,Mass Market,2026-01-28,High,Unemployed,8115,True
C000178,Anika,Khumalo,1976-03-17,Female,KwaZulu-Natal,Umhlanga,Mass Market,2022-07-25,Medium,Student,17807,True
C000179,Megan,Khumalo,1995-12-16,Female,KwaZulu-Natal,Richards Bay,Mass Market,2025-12-22,Medium,Self-Employed,198764,True
C000180,Kagiso,Smith,1952-07-12,Female,KwaZulu-Natal,Richards Bay,Emerging Affluent,2024-10-06,Low,Retired,578989,True
C000181,Sibusiso,Botha,1965-08-25,Male,Northern Cape,Upington,Affluent,2023-06-21,Low,Employed,1146279,True
C000182,Daniel,Khumalo,1953-12-06,Female,Western Cape,Stellenbosch,Mass Market,2026-05-27,Low,Employed,145062,True
C000183,Zanele,Adams,1997-11-19,Female,Gauteng,Midrand,Mass Market,2022-10-31,Low,Employed,265965,True
C000184,Sibusiso,Patel,1984-01-04,Male,Gauteng,Centurion,Emerging Affluent,2024-09-27,Medium,Employed,517160,True
C000185,Anika,Patel,1973-01-17,Male,Gauteng,Centurion,Emerging Affluent,2025-09-05,Low,Employed,384439,True
C000186,Neo,Molefe,1977-07-06,Male,Gauteng,Centurion,Mass Market,2022-02-16,Medium,Student,49750,False
C000187,Zanele,Ndlovu,1992-08-14,Female,Gauteng,Soweto,Emerging Affluent,2024-11-02,Low,Employed,340119,True
C000188,Zanele,Botha,1976-07-08,Female,Gauteng,Centurion,Mass Market,2026-04-14,High,Unemployed,47714,True
C000189,Ruan,Williams,1973-01-19,Female,Eastern Cape,Gqeberha,Mass Market,2023-12-19,Medium,Employed,173330,True
C000190,Muhammad,Meyer,1972-06-04,Male,Limpopo,Polokwane,Emerging Affluent,2026-06-25,Low,Retired,398750,True
C000191,Karabo,Brown,1979-12-31,Female,Gauteng,Sandton,Emerging Affluent,2025-01-09,Low,Employed,395738,True
C000192,Anika,Smith,1973-10-03,Female,Free State,Bloemfontein,Emerging Affluent,2023-02-18,Low,Employed,459380,True
C000193,Neo,Patel,1979-11-25,Female,Free State,Welkom,Mass Market,2023-08-17,Low,Employed,208340,True
C000194,Kagiso,Mokoena,1967-10-21,Female,North West,Rustenburg,Emerging Affluent,2025-04-03,Medium,Employed,429983,False
C000195,Kagiso,Adams,1953-01-07,Female,Gauteng,Johannesburg,Emerging Affluent,2024-12-14,Low,Self-Employed,562728,True
C000196,Naledi,Gumede,1966-01-01,Male,Gauteng,Johannesburg,Mass Market,2024-01-23,Medium,Employed,238082,True
C000197,Ruan,Ndlovu,1976-04-07,Male,Gauteng,Pretoria,Emerging Affluent,2022-09-24,Low,Employed,364406,True
C000198,Ayesha,Govender,2000-08-20,Female,Mpumalanga,Mbombela,Mass Market,2025-01-01,Medium,Student,13702,True
C000199,Kayla,Molefe,1971-02-11,Male,Gauteng,Soweto,Emerging Affluent,2024-12-05,Low,Retired,512259,True
C000200,Naledi,Khumalo,1962-11-23,Female,Gauteng,Centurion,Mass Market,2022-12-19,High,Employed,182274,True
C000201,Ayanda,Jacobs,1974-11-07,Female,Eastern Cape,Gqeberha,Mass Market,2023-04-13,Medium,Employed,191234,True
C000202,Ruan,Mokoena,2003-06-28,Female,Gauteng,Johannesburg,Mass Market,2026-07-20,Low,Student,81437,True
C000203,Thabo,Naidoo,1957-02-18,Male,Gauteng,Midrand,Emerging Affluent,2026-03-02,Low,Employed,432186,True
C000204,Ayesha,Williams,1995-06-05,Male,Eastern Cape,Gqeberha,Mass Market,2023-08-04,Low,Student,49391,True
C000205,Tshepo,Radebe,1962-02-11,Female,Limpopo,Tzaneen,Mass Market,2024-12-12,Low,Unemployed,69578,True
C000206,Karabo,Smith,1991-07-14,Female,Gauteng,Soweto,Mass Market,2022-01-11,High,Employed,116147,True
C000207,Neo,Radebe,1966-11-24,Female,KwaZulu-Natal,Richards Bay,Mass Market,2026-05-28,Medium,Employed,274961,False
C000208,Fatima,Dlamini,1978-06-14,Female,Mpumalanga,Mbombela,Mass Market,2022-01-15,High,Self-Employed,158694,True
C000209,Imran,Radebe,1954-12-20,Male,KwaZulu-Natal,Umhlanga,Mass Market,2023-05-25,Medium,Unemployed,36407,True
C000210,Neo,Nkosi,1966-10-19,Female,Gauteng,Centurion,Mass Market,2026-05-17,Medium,Employed,136982,True
C000211,Sibusiso,Patel,1959-06-25,Female,KwaZulu-Natal,Umhlanga,Mass Market,2025-12-15,Low,Student,67130,True
C000212,Zanele,Govender,1960-08-24,Male,KwaZulu-Natal,Durban,Mass Market,2023-02-11,Medium,Employed,160268,True
C000213,Sipho,Naidoo,1952-02-19,Female,KwaZulu-Natal,Umhlanga,Emerging Affluent,2025-06-14,Medium,Self-Employed,544582,True
C000214,Jason,Botha,1965-01-07,Female,Gauteng,Sandton,Mass Market,2025-03-05,Low,Employed,150542,True
C000215,Sipho,Dlamini,1990-07-13,Female,Gauteng,Johannesburg,Mass Market,2023-02-06,Low,Student,13965,True
C000216,Nomsa,Jacobs,1993-09-22,Male,Western Cape,Paarl,Emerging Affluent,2025-09-20,Medium,Employed,298879,True
